,nombre,tipo,direccion,type2,schuko,ccs2,chademo
143,"Endesa CPO SABA - Plaça de Catalunya, 08002 Barcelona, Spain",Superficie,9X Carrer del Portal de Santa Madrona 08001,2,0,2,2
144,1591001318,Superficie,56 Carrer de Londres 08036,6,0,0,0
145,1583000418,Superficie,139 Avinguda de Josep Tarradellas 08029,6,0,0,0
146,Interparking Hispania/7061,Superficie,Via sense nom 08034,6,0,0,0
147,"Garage Rambla del Brasil 29, PLANTA -1",Superficie,102 Carrer de Miquel Àngel 08028,6,0,0,0
148,2079-Telpark - Sancho de Ávila,Superficie,31X Carrer de Sancho de Ávila 08018,6,0,0,0
149,JAPE - PLANTA 1,Desconocido,23 Carrer d'Aragó 08015,6,0,0,0
150,TheF Charging Espana - Garage Rambla del Brasil 29,Superficie,102 Carrer de Miquel Àngel 08028,6,0,0,0
151,Obramat Vilanova,Parking,11 Carrer de L'Acer 08800,6,0,0,0
152,WALA Zona Franca 205,Parking,205 Passeig de la Zona Franca 08038,6,0,0,0
153,Novotel - Barcelona Cornellà,Superficie,82I Via de Bàrcino 08033,0,0,5,1
154,Parking Garbi,Parking,6 Carrer de Casanova 08011,6,0,0,0
155,Ausiàs March 151,Superficie,139 Carrer de la Marina 08013,2,2,1,1
156,c/ Torrent de l'Olla 203,Superficie,38 Carrer de Nil Fabra 08012,2,2,1,1
157,Parking NN Espronceda,Parking,65 Plaça de Victòria Kent 08018,6,0,0,0
158,"Club Arsenal Femenino Barcelona, Carrer d'Amigó 72",Superficie,52 Carrer del Rector Ubach 08021,6,0,0,0
159,TheF Charging Espana - Club Arsenal Femenino Barce,Superficie,52 Carrer del Rector Ubach 08021,6,0,0,0
160,"Club Arsenal Masculino Barcelona, Carrer de Pomaret 49",Superficie,2B Carrer de Terré 08017,6,0,0,0
161,TheF Charging Espana - Club Arsenal Masculino Barc,Superficie,2B Carrer de Terré 08017,6,0,0,0
162,Llull 331,Parking,37 Carrer de la Selva de Mar 08019,6,0,0,0
163,Parking Biblioteca FCCMA,Parking,2 Carrer d'Enric Granados 08007,6,0,0,0
164,Europa 12,Superficie,14 Carrer d'Europa 08028,2,0,2,2
165,"Mas Casanovas, 69",Superficie,65 Carrer del Mas Casanovas 08041,2,0,2,2
166,"Av. Diagonal, 429 (lateral Mar)",Superficie,431 Carrer de Londres 08036,0,6,0,0
167,"Av. Diagonal, 508 (lateral Muntanya)",Superficie,508 Avinguda Diagonal 08006,0,6,0,0
168,"Carrer Fra Juníper Serra, 57",Superficie,61 Carrer de Fra Juníper Serra 08030,2,0,2,2
169,"Via Augusta, 352",Superficie,352 Via Augusta 08017,2,0,2,2
170,Ciutat Meridiana,Parking,70B Avinguda dels Rasos de Peguera 08033,3,3,0,0
171,Parking Balmoral,Parking,5 Via Augusta 08006,6,0,0,0
172,Hotel SiR VICTOR,Hotel,267 Carrer del Rosselló 08008,0,0,0,0
173,Mercadona - Vilassar,Tienda,343 Poligono Industrial els Garrofers 08340,6,0,0,0
174,Parking Romara,Parking,9 Carrer d'Aribau 08011,3,3,0,0
175,SABA/autopistas,Superficie,22 Avinguda Parc Logístic 08040,6,0,0,0
176,Parking SEMSA Mallorca 333,Parking,333 Carrer de Mallorca 08037,0,6,0,0
177,Parking Poeta Cabanyes - Promoparc,Superficie,10 Carrer del Poeta Cabanyes 08004,5,0,0,0
178,PARQUING SANT JAUME,Parking,45 Carrer del Lluçanès 08022,5,0,0,0
179,Telpark - Ninot,Parking,190 Carrer de Provença 08036,5,0,0,0
180,BCSABAAPARCAMIENTOPLAZACATALUNA09,Superficie,21 Carrer de Rivadeneyra 08002,5,0,0,0
181,Bauhaus,Parking,29 Carrer de l'Estany 08038,5,0,0,0
182,Parking Carlos III (PowerGo),Superficie,5860 Gran Via de Carles III 08028,5,0,0,0
183,"Rosselló i Porcel, 9",Superficie,10 Carrer de Rosselló i Pòrcel 08016,1,2,1,1
184,Mallorca 100,Superficie,100 Carrer de Mallorca 08029,2,0,1,2
185,"Rosselló i Porcel, 9",Superficie,78 Avinguda de Rio de Janeiro 08016,1,2,1,1
186,"Josep Pla, 2",Superficie,14 Carrer de Josep Pla 08019,1,2,1,1
187,"Avinguda del Paral·lel, 55",Superficie,54 Avinguda del Paral·lel 08004,1,2,1,1
188,c/ Torrent de l'Olla 203,Superficie,23 Carrer de Nil Fabra 08012,1,2,1,1
189,Wallbox rRcharging Solution Gran Via,Parking,15S Carrer de Llança 08015,2,0,0,0
190,Aparcament REGESA - Plaça Maragall,Parking,1 Plaça de Maragall 08041,0,4,1,0
191,El Corte Inglés Diagonal,Centro comercial,7 Carrer d'Europa 08028,2,2,0,0
192,"Abba Garden Hotel Barcelona, PLANTA -1",Parking,33 Calle de Santa Rosa 08950,4,0,0,0
193,INNSiDE by Meliá Barcelona Aeropuerto,Parking,1-2 Plaça Pla de l'Estany 08820,4,0,0,0
194,TheF Charging Espana - INNSiDE by Meliá Barcelona,Superficie,1-2 Plaça Pla de l'Estany 08820,4,0,0,0
195,Barcelona - Parking Condal,Superficie,"24, pral 1 Plaça del Doctor Letamendi 08007",0,0,4,0
196,INNSiDE by Meliá Barcelona Aeropuerto,Superficie,1-2 Plaça Pla de l'Estany 08820,4,0,0,0
197,Parking El Born Center. Barcelona - Parkia,Superficie,1 Plaça Comercial 08003,4,0,0,0
198,Parking Clínica Corachan. Barcelona - Parkia,Superficie,600 Avinguda Diagonal 08021,4,0,0,0
199,Parking Cap Maragall. Barcelona - Parkia,Superficie,52 Passeig Maragall 08041,4,0,0,0
200,Parking Muntaner Tavern - Promoparc,Superficie,51 Carrer de Tavern 08006,4,0,0,0
201,Campus Mundet - Ponent,Parking,24I Carrer de l'Harmonia 08035,4,0,0,0
202,Barcelona - Parking Condal,Parking,24 Plaça del Doctor Letamendi 08007,0,0,4,0
203,Parking Rocas Aribau,Parking,170 Carrer d'Aribau 08036,4,0,0,0
204,BARCARRERDELCOMTEURGELL03,Superficie,8 Carrer del Comte d'Urgell 08011,4,0,0,0
205,BCNJARDINETSDEGRACIA01,Superficie,9999 Passeig de Gràcia 08008,4,0,0,0
206,BARCLUBNATACIONLLEIDA01,Superficie,16 Carrer de Viriat 08014,4,0,0,0
207,"Endesa CPO BAMSA - Pg. de Gràcia, 08007 Barcelona, Spain",Superficie,38 Passeig de Gràcia 08007,4,0,0,0
208,BASABADIPUTACIO02,Superficie,286 Carrer de la Diputació 08009,4,0,0,0
209,1590000618,Superficie,116B Passeig de Gràcia 08008,4,0,0,0
210,Parking Viladomat,Parking,314 Carrer de Viladomat 08029,4,0,0,0
211,JAPE - PLANTA -1,Desconocido,23 Carrer d'Aragó 08015,4,0,0,0
212,"Abba Garden Hotel Barcelona, PLANTA -1",Superficie,33 Calle de Santa Rosa 08950,4,0,0,0
213,Training D26,Desconocido,20 Carrer D 08040,4,0,0,0
214,TheF Charging Espana - Abba Garden Hotel Barcelona,Superficie,33 Calle de Santa Rosa 08950,4,0,0,0
215,Puiggarí 37,Superficie,23 Carrer de Viriat 08014,2,0,1,1
216,cementiri Montjuïc,Superficie,40 Carrer de la Mare de Déu de Port 08038,0,4,0,0
217,Cisell 8,Superficie,8 Carrer del Cisell 08038,2,0,1,1
218,Ronda Sant Pau 60,Superficie,62 Ronda de Sant Pau 08001,2,0,1,1
219,Moragas 17,Superficie,17 Carrer de Moragas 08022,2,0,1,1
220,Nena Cases 24,Superficie,24 Carrer de la Nena Casas 08017,2,0,1,1
221,Can Marcet 18,Superficie,18 Avinguda de Can Marcet 08035,2,0,1,1
222,Legalitat 53,Superficie,55 Carrer de la Legalitat 08024,2,0,1,1
223,Diputació 344,Superficie,371 Carrer de la Diputació 08013,2,0,1,1
224,"Reina Victoria, 9",Superficie,10 Carrer de la Reina Victòria 08021,2,0,1,1
225,Virgili 10,Superficie,4 Carrer de Virgili 08030,2,0,1,1
226,Can Bruixa 23,Superficie,33 Carrer de Can Bruixa 08014,2,0,1,1
227,Roger de Llúria 124,Superficie,124 Carrer de Roger de Llúria 08037,2,0,1,1
228,Cantàbria 28,Superficie,29 Carrer de Cantàbria 08020,2,0,1,1
229,Concepció Arenal 26,Superficie,26B Carrer de Concepción Arenal 08027,2,0,1,1
230,Salvador Espriu 97,Superficie,Carrer de Salvador Espriu 08005,2,0,1,1
231,Torras i Bages 124,Superficie,124 Plaça de Josep Andreu i Abelló 08030,2,0,1,1
232,Poesia 2,Superficie,7B Carrer de la Poesia 08035,2,0,1,1
233,Pare Mariana 21,Superficie,135 Carrer del Pare Mariana 08035,2,0,1,1
234,Química 2,Superficie,2 Carrer de la Química 08038,2,0,1,1
235,Pg. Joan de Borbó 68,Superficie,69 Passeig de Joan de Borbó 08003,2,2,0,0
236,John M. Keynes,Superficie,37 Carrer de John Maynard Keynes 08034,2,0,1,1
237,Jerez 14,Superficie,16 Carrer de Jerez 08032,1,1,1,1
238,Pg. Picasso 8,Superficie,8 Passeig de Picasso 08003,2,0,1,1
239,Europa 12,Superficie,14 Carrer d'Europa 08028,2,0,1,1
240,Entença 335,Superficie,115 Carrer de Déu i Mata 08029,2,0,1,1
241,"Via Favència, 21",Superficie,21X Via Favència 08042,2,0,1,1
242,"Carrer Roc Boronat, 122",Superficie,125 Carrer de Roc Boronat 08018,2,0,1,1
243,"Carrer Fra Juníper Serra, 57",Superficie,61 Carrer de Fra Juníper Serra 08030,2,0,1,1
244,"Pla de Palau, 21",Superficie,1366 Pla de Palau 08003,2,0,1,1
245,"Llull, 285",Superficie,288 Calle de Llull 08019,2,2,0,0
246,"Pl. Maragall, 21",Superficie,21 Plaça de Maragall 08027,2,2,0,0
247,"Fontanella, 1",Superficie,1 Carrer de Fontanella 08002,2,2,0,0
248,"Provença, 447",Superficie,447 Carrer de Provença 08025,2,0,1,1
249,Galícia,Parking,12 Carrer de Galícia 08033,2,2,0,0
250,"Mercadona València, Barcelona",Parking,531 Carrer de València 08013,4,0,0,0
251,Saba Constanza,Parking,69 Carrer de Déu i Mata 08029,4,0,0,0
252,Torre Pujades,Parking,342 Carrer de Pujades 08019,4,0,0,0
253,Mercadona La Pau,Tienda,24 carrer José Garrido Gámez 08020,4,0,0,0
254,Hotel Claris,Hotel,152 Carrer de Pau Claris 08009,4,0,0,0
255,Ap. Esperança i Guell,Parking,13 Carrer de Sant Cugat del Vallès 08024,4,0,0,0
256,Factor Energía - RC POLO BCN - Entrada Principal,Superficie,27 Avinguda Doctor Marañón 08028,4,0,0,0
257,Gràcia Motos,Parking,190 Carrer Gran de Gràcia 08012,2,2,0,0
258,Gràcia Motos,Parking,190 Carrer Gran de Gràcia 08012,2,2,0,0
259,Jerez 14,Superficie,16 Carrer de Jerez 08032,1,1,1,1
260,"Av. Diagonal, 598",Superficie,598 Avinguda Diagonal 08021,0,4,0,0
261,"Av. Diagonal, 387 (lateral mar)",Superficie,310 Carrer de Còrsega 08008,0,4,0,0
262,"Pascual i Vila, 23",Superficie,23-24 Carrer de Pascual i Vila 08028,0,4,0,0
263,"Joan de Borbó, 12",Superficie,14 Passeig de Joan de Borbó 08003,0,4,0,0
264,Tibidabo,Parking,33 Carrer Tibidabo a Vall 08035,2,2,0,0
265,Galícia,Parking,28 Carrer de Galícia 08033,2,2,0,0
266,Mercabarna Pavelló Bio,Parking,23 Carrer Transversal 5 08040,4,0,0,0
267,Lidl Jardins de Màlaga,Tienda,20 Carrer de Numància 08029,4,0,0,0
268,saba mercat santa catarina,Parking,20 Carrer de Freixures 08003,4,0,0,0
269,Mercadona les Torres,Tienda,2 Carrer dels Nou Barris 08042,4,0,0,0
270,Hotel Sofia,Hotel,1 Carrer del Doctor Salvador Cardenal 08028,1,0,0,0
271,Andante Hotel,Hotel,23 Avinguda de les Drassanes 08001,4,0,0,0
272,ZT The Golden Hotel Barcelona,Hotel,135 Carrer d'Àvila 08018,4,0,0,0
273,Parking Norte Nissan Fábrica,Superficie,107 Travessia es 08040,0,3,0,1
274,H10 Cubik,Hotel,69 Via Laietana 08003,2,0,0,0
275,Parking Carrer Premià,Parking,45 Carrer de Premià 08014,2,2,0,0
276,Hotel Acevi Villarroel,Hotel,103 Carrer de Villarroel 08011,1,2,0,0
277,Parking Hotel Ronda Lesseps,Hotel,64 Carrer de Ballester 08023,0,3,0,0
278,REGESA - Park & Ride del Besòs,Parking,13 Avinguda d'Eduard Maristany 08930,0,4,0,0
279,Parking M,Parking,506 Carrer del Rosselló 08025,0,4,0,0
280,Aparcament REGESA - Plaça Ferran Reyes,Parking,231L Avinguda Meridiana 08027,0,4,0,0
281,Aparcament REGESA - Mercat de la Mercè,Parking,1X Carrer de Joan Alcover 08031,0,4,0,0
282,Telpark - Hospital Sagrado Cor,Parking,298 Carrer de Viladomat 08029,3,0,0,0
283,Zona BCN (Parking MX),Superficie,316 Travessera de Gràcia 08025,3,0,0,0
284,"Passeig de Gràcia, 5",Superficie,3 Passeig de Gràcia 08007,1,0,1,1
285,Melia Barcelona Sky,Superficie,274 Carrer de Pere IV 08018,3,0,0,0
286,NH Collection Barcelona Constanza,Superficie,95U Carrer de Déu i Mata 08029,3,0,0,0
287,Eranovum - Sant Cugat,Parking,21 Avinguda de la Via Augusta 08174,1,0,2,0
288,Best Western Plus Alfa Aeropuerto,Hotel,6 Carrer K Zona Franca 08040,3,0,0,0
289,Endesa CPO - Ml Inflamables,Superficie,9 Ml Inflamables 08040,1,0,1,1
290,Endesa CPO - JOSEL - Passeig de Sant Gervasi,Superficie,51 Passeig de Sant Gervasi 08022,3,0,0,0
291,"Endesa CPO SABA APARCAMIENTOS - Av. de Pau Casals, Sarrià-Sant Gervasi, 08021 Barcelona, Spain",Superficie,5 Avinguda de Pau Casals 08021,3,0,0,0
292,BCSABAELECTROLINERACARLESIII01,Superficie,81 Gran Via de Carles III 08028,1,0,1,1
293,"Endesa CPO SABA - Pl. d'Urquinaona, 08010 Barcelona, Spain",Superficie,3 Plaça d'Urquinaona 08010,1,0,1,1
294,BCSABAELECTROLINERACARLESIII02,Superficie,81 Gran Via de Carles III 08028,1,0,1,1
295,62126022680008,Superficie,10 Avinguda de la Catedral,1,0,1,1
296,"Endesa CPO SABA - Jardines Ps. Gràcia, Barcelona, Spain",Superficie,116B Passeig de Gràcia 08008,1,0,1,1
