,nombre,tipo,direccion,type2,schuko,ccs2,chademo
727,Endesa CPO - BAMSA - Av. Pau Casals S/N,Superficie,195 Carrer de París 08036,1,0,0,0
728,Endesa CPO - BAMSA - Av. Pau Casals S/N,Superficie,195 Carrer de París 08036,1,0,0,0
729,0889000915,Superficie,16 Avinguda de Pau Casals 08021,1,0,0,0
730,0889000915,Superficie,16 Avinguda de Pau Casals 08021,1,0,0,0
731,Endesa CPO - BAMSA - Av. de Pau Casals,Superficie,12 Carrer del Mestre Nicolau 08021,1,0,0,0
732,Endesa CPO - BAMSA - Av. de Pau Casals,Superficie,12 Carrer del Mestre Nicolau 08021,1,0,0,0
733,Endesa CPO - BAMSA - Av. de Pau Casals,Superficie,16 Avinguda de Pau Casals 08021,1,0,0,0
734,Endesa CPO - BAMSA - Av. de Pau Casals,Superficie,16 Avinguda de Pau Casals 08021,1,0,0,0
735,Endesa CPO - BAMSA - Av. Pau Casals S/N,Superficie,2X Carrer de Bori i Fontestà 08021,1,0,0,0
736,Endesa CPO - BAMSA - Av. Pau Casals S/N,Superficie,2X Carrer de Bori i Fontestà 08021,1,0,0,0
737,BCSABATRAVESSERA43C4,Superficie,45 Travessera de Gràcia 08021,1,0,0,0
738,BCSABATRAVESSERA43C4,Superficie,45 Travessera de Gràcia 08021,1,0,0,0
739,BCSABAGALAPLACIDIA02,Superficie,2 Plaça de Gal·la Placídia 08006,1,0,0,0
740,BCSABAGALAPLACIDIA02,Superficie,2 Plaça de Gal·la Placídia 08006,1,0,0,0
741,BCSABAGALAPLACIDIA01,Superficie,2 Plaça de Gal·la Placídia 08006,1,0,0,0
742,BCSABAGALAPLACIDIA01,Superficie,2 Plaça de Gal·la Placídia 08006,1,0,0,0
743,BCSABAGALAPLACIDIA03,Superficie,2 Plaça de Gal·la Placídia 08006,1,0,0,0
744,BCSABAGALAPLACIDIA03,Superficie,2 Plaça de Gal·la Placídia 08006,1,0,0,0
745,BCSABAGALAPLACIDIA04,Superficie,2 Plaça de Gal·la Placídia 08006,1,0,0,0
746,BCSABAGALAPLACIDIA04,Superficie,2 Plaça de Gal·la Placídia 08006,1,0,0,0
